experiment,corruption,severity,intervention_type,fraction,alpha,norm_cap,layer_id,mask_seed,U,n_images,recovery_rate,new_error_rate,corruption_failure_set_size,still_correct_set_size,margin_change,model_fingerprint
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,1,-0.40000000000000036,2000,0.05223880597014925,0.015897047691143074,134,1321,0.021696412086486816,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,2,-0.40000000000000036,2000,0.05223880597014925,0.015897047691143074,134,1321,0.006003296852111816,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,3,-0.04999999999999449,2000,0.08955223880597014,0.012112036336109008,134,1321,0.006473979115486145,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,4,0.0,2000,0.06716417910447761,0.012112036336109008,134,1321,0.01572877502441406,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,5,-0.14999999999999458,2000,0.06716417910447761,0.01514004542013626,134,1321,0.01903815269470215,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,6,-0.24999999999999467,2000,0.08955223880597014,0.015897047691143074,134,1321,0.0063019335269927975,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,7,0.050000000000005596,2000,0.11194029850746269,0.01514004542013626,134,1321,0.0003108848333358765,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,8,0.15000000000000568,2000,0.11194029850746269,0.015897047691143074,134,1321,0.0007664947509765625,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,9,0.050000000000005596,2000,0.13432835820895522,0.015897047691143074,134,1321,0.016724639296531677,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,10,0.15000000000000568,2000,0.08955223880597014,0.010598031794095382,134,1321,0.023981220483779906,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
