selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
fixed_front,0,unseen,E1,0.05,1.0,,-0.6749999999999999,-0.9439374999999988,-0.39914583333333353,1.8504166666666673,1.6449270833333347,2.115843749999998,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,unseen,E1,0.05,1.0,,1.0725000000000011,0.885812500000001,1.2604479166666676,0.1029166666666661,0.05415624999999838,0.213354166666666,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,unseen,E1,0.05,1.0,,1.1754166666666672,0.9849687500000003,1.367552083333333,0.0,0.0,0.11001041666666432,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,9,unseen,E1,0.05,1.0,,1.17375,0.9862500000000008,1.3559166666666669,0.0016666666666671492,0.0,0.09962499999999606,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,unseen,E1,0.05,1.0,,-0.6749999999999999,-0.9439374999999988,-0.39914583333333353,1.8504166666666673,1.6449270833333347,2.115843749999998,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,unseen,E1,0.05,1.0,,1.17375,0.9862500000000008,1.3559166666666669,0.0016666666666671492,0.0,0.09962499999999606,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,unseen,E1,0.05,1.0,,1.1754166666666672,0.9849687500000003,1.367552083333333,0.0,0.0,0.11001041666666432,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,unseen,E1,0.05,1.0,,1.1245833333333322,0.9433229166666672,1.3088437499999992,0.05083333333333506,0.019166666666667876,0.16208333333333316,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_front,0,unseen,E1,0.1,1.0,,-2.2295833333333284,-2.6045937499999936,-1.8662395833333296,4.602083333333324,4.291645833333331,4.942562499999982,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,unseen,E1,0.1,1.0,,2.1095833333333314,1.8428124999999953,2.3663541666666656,0.26291666666666424,0.15038541666666666,0.4008541666666624,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,unseen,E1,0.1,1.0,,2.3554166666666645,2.071177083333331,2.6298124999999968,0.01708333333333112,0.0,0.08835416666666616,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,10,unseen,E1,0.1,1.0,,2.3554166666666645,2.071177083333331,2.6298124999999968,0.01708333333333112,0.0,0.08835416666666616,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,unseen,E1,0.1,1.0,,2.216666666666665,1.930354166666669,2.4987812499999964,0.1558333333333306,0.08497916666666967,0.24209374999999844,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,unseen,E1,0.1,1.0,,-2.2295833333333284,-2.6045937499999936,-1.8662395833333296,4.602083333333324,4.291645833333331,4.942562499999982,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,unseen,E1,0.1,1.0,,2.3724999999999956,2.094541666666667,2.644197916666662,0.0,0.0,0.053333333333332435,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
