layer,metric_name,score,n_samples,summary_mode,label_access,corruption,severity,split,is_observed,model_fingerprint
3,relative_distance,0.07287921741053922,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,cosine_distance,0.0027467045514634647,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,one_minus_cka,0.09525862271324326,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,amplification_ratio,1.1892937908148353,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,knn_preservation,0.3402289847235668,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,relative_distance,0.5179811864898236,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,cosine_distance,0.14264496277707064,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,one_minus_cka,0.0678328996359735,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,amplification_ratio,0.9231810111510466,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,knn_preservation,0.42611849150161846,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,relative_distance,0.08537812088534048,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,cosine_distance,0.0037525873284090672,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,one_minus_cka,0.0812489471879384,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
