experiment,corruption,severity,intervention_type,fraction,alpha,norm_cap,layer_id,n_seeds,U_mean,U_std,U_min,U_max,n_images_mean,n_images_std,n_images_min,n_images_max,recovery_rate_mean,recovery_rate_std,recovery_rate_min,recovery_rate_max,new_error_rate_mean,new_error_rate_std,new_error_rate_min,new_error_rate_max,corruption_failure_set_size_mean,corruption_failure_set_size_std,corruption_failure_set_size_min,corruption_failure_set_size_max,still_correct_set_size_mean,still_correct_set_size_std,still_correct_set_size_min,still_correct_set_size_max,margin_change_mean,margin_change_std,margin_change_min,margin_change_max,model_fingerprint
E1,gaussian_noise,1,partial_channel,0.01,1.0,,0,20,-0.034999999999997256,0.15736314020359787,-0.30000000000000027,0.35000000000000586,2000.0,0.0,2000,2000,0.037686567164179105,0.01720170766650343,0.007462686567164179,0.06716417910447761,0.006699470098410295,0.0015968980401006047,0.004542013626040878,0.009084027252081756,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.0008336217463016509,0.0036918008560029793,-0.009757674813270568,0.006529875040054321,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,0,20,-0.09499999999999675,0.21636956688426529,-0.5499999999999949,0.20000000000000018,2000.0,0.0,2000,2000,0.08656716417910447,0.02532456883509051,0.05223880597014925,0.13432835820895522,0.014193792581377745,0.0028097244267150435,0.009084027252081756,0.01968205904617714,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.013166580480337146,0.012362462994858716,-0.0016548657417297364,0.048488503932952884,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,20,-0.19749999999999712,0.3925205324834012,-1.100000000000001,0.40000000000000036,2000.0,0.0,2000,2000,0.13843283582089555,0.06165666326850621,0.07462686567164178,0.3208955223880597,0.023618470855412563,0.01423782961055664,0.011355034065102196,0.06510219530658592,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.004797668230533597,0.08303149245457898,-0.2403620376586914,0.07585544657707215,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,20,0.13750000000000318,0.3605095078679039,-0.5499999999999949,0.8500000000000063,2000.0,0.0,2000,2000,0.22761194029850743,0.0684609045517269,0.15671641791044777,0.3880597014925373,0.030847842543527633,0.01113340695560309,0.018168054504163512,0.056018168054504165,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.03488640710115433,0.05370095508788579,-0.09646105754375457,0.10512727308273316,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,1,20,-0.019999999999997242,0.14635932710824848,-0.24999999999999467,0.35000000000000586,2000.0,0.0,2000,2000,0.03283582089552238,0.0161333622022263,0.007462686567164179,0.06716417910447761,0.00575321725965178,0.002256350705134276,0.001514004542013626,0.00984102952308857,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.002355723136663437,0.003005979920091468,-0.003566826581954956,0.008933749556541443,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,1,20,0.027500000000003078,0.22033168776092812,-0.40000000000000036,0.35000000000000586,2000.0,0.0,2000,2000,0.08358208955223881,0.024644117835280498,0.03731343283582089,0.12686567164179105,0.01267978803936412,0.0028311117909172443,0.008327024981074944,0.018168054504163512,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.019543185281753545,0.009103309166572126,-0.004021432757377624,0.03515281355381012,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,1,20,0.05250000000000421,0.30714089000943806,-0.5499999999999949,0.6500000000000061,2000.0,0.0,2000,2000,0.15597014925373137,0.06709431646265594,0.08955223880597014,0.34328358208955223,0.022142316426949284,0.008810560986676593,0.015897047691143074,0.04920514761544285,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.03988169600367546,0.01093311045999931,0.018475744128227233,0.05321799373626709,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,1,20,0.25500000000000406,0.314098543035212,-0.30000000000000027,0.8500000000000063,2000.0,0.0,2000,2000,0.24141791044776123,0.05474704434572686,0.1865671641791045,0.373134328358209,0.029788039364118085,0.00574038528633114,0.01968205904617714,0.0408781226343679,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.07805786789655686,0.02595407019779731,0.038524137616157535,0.15030336904525757,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,2,20,-0.10999999999999788,0.12732056517228316,-0.40000000000000036,0.050000000000005596,2000.0,0.0,2000,2000,0.035447761194029856,0.015479690808278516,0.014925373134328358,0.07462686567164178,0.0070022710068130215,0.0020822089486002304,0.003028009084027252,0.011355034065102196,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.0023785531938076026,0.0036893597066474508,-0.00459157657623291,0.01013502824306488,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.05,1.0,,2,20,-0.10249999999999759,0.22388613177238167,-0.6000000000000005,0.20000000000000018,2000.0,0.0,2000,2000,0.09029850746268656,0.019655138403300104,0.03731343283582089,0.12686567164179105,0.015556396669190009,0.0033085963193540723,0.010598031794095382,0.02043906131718395,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.022134182637929913,0.011564887810660177,-0.009827341437339782,0.03991610527038574,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,2,20,0.03250000000000142,0.3635624177207364,-0.5000000000000004,0.8000000000000007,2000.0,0.0,2000,2000,0.15746268656716417,0.04835767555688099,0.1044776119402985,0.291044776119403,0.022369417108251324,0.005720384800011559,0.014383043149129448,0.03860711582134747,134.0,0.0,134,134,1321.0,0.0,1321,1321,0.04481274991631508,0.021697447694453986,0.017682629346847535,0.09840923738479614,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
