selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
fixed_front,0,observed,E1,0.05,1.0,,1.4200000000000013,1.1307916666666673,1.6971041666666669,0.4437499999999972,0.23749999999999627,0.6833541666666606,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,observed,E1,0.05,1.0,,1.5966666666666653,1.3691250000000013,1.8087708333333337,0.2670833333333331,0.17165624999999776,0.3795833333333339,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,observed,E1,0.05,1.0,,1.8637499999999985,1.6526770833333349,2.0679583333333325,0.0,0.0,0.06045833333333291,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,9,observed,E1,0.05,1.0,,1.8595833333333316,1.639166666666663,2.0650416666666658,0.004166666666666874,0.0,0.0704270833333343,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,observed,E1,0.05,1.0,,1.4200000000000013,1.1307916666666673,1.6971041666666669,0.4437499999999972,0.23749999999999627,0.6833541666666606,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,observed,E1,0.05,1.0,,1.8595833333333316,1.639166666666663,2.0650416666666658,0.004166666666666874,0.0,0.0704270833333343,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,observed,E1,0.05,1.0,,1.6133333333333333,1.4208333333333338,1.80753125,0.2504166666666652,0.20083333333333164,0.3233541666666679,"[0, 4, 5, 6, 7, 8, 9, 10, 11]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
