selector,candidate,label_access,selection_cost,direction,val_spearman,admissible,experiment,fraction,alpha,norm_cap,model_fingerprint
amplification_ratio/patch_mean,9,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.6013986013986015,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.9580419580419581,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8671328671328673,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8601398601398602,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8111888111888113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.8671328671328673,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.8391608391608393,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.9580419580419581,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8671328671328673,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_front,0,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,10,labels,"{""n_tried_sites"": 12, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,labels,"{""n_tried_sites"": 3, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.15384615384615385,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.5734265734265735,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.9790209790209792,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8881118881118882,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8811188811188813,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8391608391608393,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.8881118881118882,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.8461538461538463,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.9790209790209792,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8881118881118882,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.2,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
